TenantId,"TimeGenerated [UTC]",Id,Source,Name,Url,Success,ResultCode,DurationMs,PerformanceBucket,Properties,Measurements,OperationName,OperationId,OperationLinks,ParentId,SyntheticSource,SessionId,UserId,UserAuthenticatedId,UserAccountId,AppVersion,AppRoleName,AppRoleInstance,ClientType,ClientModel,ClientOS,ClientIP,ClientCity,ClientStateOrProvince,ClientCountryOrRegion,ClientBrowser,ResourceGUID,IKey,SDKVersion,ItemCount,ReferencedItemId,ReferencedType,SourceSystem,Type,"_ResourceId"
"6dee7b41-6a9a-482a-8202-c12c3fb0776f","22/10/2025, 17:56:33.836",53ab214843db0466,,"GET /v1/Claims/1002","https://apimanagement-claimstatusapi-3.azure-api.net/v1/Claims/1002",false,401,"0.2753","<250ms","{""Service ID"":""apimanagement-claimstatusapi-3"",""API Type"":""http"",""Operation Name"":""get-claims-id"",""Region"":""UK South"",""API Revision"":""1"",""Request Id"":""00440d07-5fb9-4cdc-8c32-7bb68d0feea6"",""Service Name"":""apimanagement-claimstatusapi-3.azure-api.net"",""Cache"":""None"",""Service Type"":""API Management"",""API Name"":""claimstatusapi"",""HTTP Method"":""GET""}","{""Response Size"":348,""Request Size"":0,""Client Time (in ms)"":0}","claimstatusapi;rev=1 - get-claims-id",16f4429262fbaed0919f28f78ef9b2d7,,16f4429262fbaed0919f28f78ef9b2d7,,,,,,,"apimanagement-claimstatusapi-3 UK South","apimanagement-claimstatusapi-3 UK South",PC,,,"0.0.0.0",Ashburn,Virginia,"United States",,"9f58dce2-312b-4400-94c8-b7fbdc9e1c1a","06e57e63-09ae-4403-9280-5677b2762f33","apim:0.49.24887.0",1,,,Azure,AppRequests,"/subscriptions/57adb136-00fe-4aa7-b866-fa3dc7aef808/resourcegroups/rg-cnalv2-introspect2b-test-3/providers/microsoft.insights/components/ai-claimstatusapi-3"
"6dee7b41-6a9a-482a-8202-c12c3fb0776f","22/10/2025, 17:56:06.819",09f636483fd2639b,,"GET /v1/Claims/1002","https://apimanagement-claimstatusapi-3.azure-api.net/v1/Claims/1002",false,429,"0.4721","<250ms","{""Service ID"":""apimanagement-claimstatusapi-3"",""API Type"":""http"",""Subscription Name"":""68f51967164a870071070001"",""Operation Name"":""get-claims-id"",""Region"":""UK South"",""API Revision"":""1"",""Request Id"":""24b88754-c5c1-4a35-ac5d-395f4436cb8f"",""Service Name"":""apimanagement-claimstatusapi-3.azure-api.net"",""Cache"":""None"",""Service Type"":""API Management"",""API Name"":""claimstatusapi"",""HTTP Method"":""GET""}","{""Response Size"":244,""Request Size"":0,""Client Time (in ms)"":0}","claimstatusapi;rev=1 - get-claims-id",02697055b159e1ddb3739033ee8255fa,,02697055b159e1ddb3739033ee8255fa,,,,1,,,"apimanagement-claimstatusapi-3 UK South","apimanagement-claimstatusapi-3 UK South",PC,,,"0.0.0.0",Ashburn,Virginia,"United States",,"9f58dce2-312b-4400-94c8-b7fbdc9e1c1a","06e57e63-09ae-4403-9280-5677b2762f33","apim:0.49.24887.0",1,,,Azure,AppRequests,"/subscriptions/57adb136-00fe-4aa7-b866-fa3dc7aef808/resourcegroups/rg-cnalv2-introspect2b-test-3/providers/microsoft.insights/components/ai-claimstatusapi-3"
"6dee7b41-6a9a-482a-8202-c12c3fb0776f","22/10/2025, 17:41:43.459",535666ae2b947ff0,,"POST Claims/SummarizeClaim [id]","http://claimstatusapi.yellowrock-2dcf597b.uksouth.azurecontainerapps.io/Claims/1002/summarize",false,404,"4316.4556","3sec-7sec","{""AspNetCoreEnvironment"":""Production"",""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')""}",,"POST Claims/SummarizeClaim [id]",f649944133917ccb95589bc44c3aa12b,,3540628b9b7e303f,,,,,,"8.0.21",,"claimstatusapi--0000017-794496cc67-9s7w2",PC,,,"0.0.0.0",Ashburn,Virginia,"United States",,"9f58dce2-312b-4400-94c8-b7fbdc9e1c1a","06e57e63-09ae-4403-9280-5677b2762f33","aspnet5c:2.23.0+2faa7e8b157a431daa2e71785d68abd5fa817b53",1,,,Azure,AppRequests,"/subscriptions/57adb136-00fe-4aa7-b866-fa3dc7aef808/resourcegroups/rg-cnalv2-introspect2b-test-3/providers/microsoft.insights/components/ai-claimstatusapi-3"
"6dee7b41-6a9a-482a-8202-c12c3fb0776f","22/10/2025, 17:41:43.459",535666ae2b947ff0,,"POST Claims/{id}/summarize","http://claimstatusapi.yellowrock-2dcf597b.uksouth.azurecontainerapps.io/Claims/1002/summarize",false,404,"4316.5192","3sec-7sec","{""network.protocol.version"":""1.1"",""_MS.ProcessedByMetricExtractors"":""(Name: X,Ver:'1.1')""}",,"POST Claims/{id}/summarize",f649944133917ccb95589bc44c3aa12b,,3540628b9b7e303f,,,,,,"claimstatusapi--0000017","[cae-claimstatusapi-3]/claimstatusapi","claimstatusapi--0000017-794496cc67-9s7w2",PC,Other,Other,"0.0.0.0",London,"Greater London","United Kingdom",Other,"9f58dce2-312b-4400-94c8-b7fbdc9e1c1a","06e57e63-09ae-4403-9280-5677b2762f33","dotnet8.0.21:otel1.12.0:ext1.4.0-d",1,,,Azure,AppRequests,"/subscriptions/57adb136-00fe-4aa7-b866-fa3dc7aef808/resourcegroups/rg-cnalv2-introspect2b-test-3/providers/microsoft.insights/components/ai-claimstatusapi-3"
"6dee7b41-6a9a-482a-8202-c12c3fb0776f","22/10/2025, 17:41:43.443",29b2e0f051edaa76,,"POST /v1/Claims/1002/summarize","https://apimanagement-claimstatusapi-3.azure-api.net/v1/Claims/1002/summarize",false,404,"4321.0594","3sec-7sec","{""Service ID"":""apimanagement-claimstatusapi-3"",""API Type"":""http"",""Subscription Name"":""68f51967164a870071070001"",""Operation Name"":""post-claims-id-summarize"",""Region"":""UK South"",""API Revision"":""1"",""Request Id"":""2b46c4b3-ce1e-4b33-b120-01db402bb20d"",""Service Name"":""apimanagement-claimstatusapi-3.azure-api.net"",""Cache"":""None"",""Service Type"":""API Management"",""API Name"":""claimstatusapi"",""HTTP Method"":""POST""}","{""Response Size"":354,""Request Size"":680,""Client Time (in ms)"":0}","claimstatusapi;rev=1 - post-claims-id-summarize",f649944133917ccb95589bc44c3aa12b,,f649944133917ccb95589bc44c3aa12b,,,,1,,,"apimanagement-claimstatusapi-3 UK South","apimanagement-claimstatusapi-3 UK South",PC,,,"0.0.0.0",Ashburn,Virginia,"United States",,"9f58dce2-312b-4400-94c8-b7fbdc9e1c1a","06e57e63-09ae-4403-9280-5677b2762f33","apim:0.49.24887.0",1,,,Azure,AppRequests,"/subscriptions/57adb136-00fe-4aa7-b866-fa3dc7aef808/resourcegroups/rg-cnalv2-introspect2b-test-3/providers/microsoft.insights/components/ai-claimstatusapi-3"
"6dee7b41-6a9a-482a-8202-c12c3fb0776f","22/10/2025, 17:41:25.559",c5e82c35075ab54c,,"POST /v1/Claims/1002/summarize","https://apimanagement-claimstatusapi-3.azure-api.net/v1/Claims/1002/summarize",false,401,"0.4117","<250ms","{""Service ID"":""apimanagement-claimstatusapi-3"",""API Type"":""http"",""Operation Name"":""post-claims-id-summarize"",""Region"":""UK South"",""API Revision"":""1"",""Request Id"":""4ac4d3cf-bf97-41b8-9ec2-a1d0aa043e91"",""Service Name"":""apimanagement-claimstatusapi-3.azure-api.net"",""Cache"":""None"",""Service Type"":""API Management"",""API Name"":""claimstatusapi"",""HTTP Method"":""POST""}","{""Response Size"":435,""Request Size"":0,""Client Time (in ms)"":0}","claimstatusapi;rev=1 - post-claims-id-summarize",52c46e544aab64e2f5993d6068f2adc7,,52c46e544aab64e2f5993d6068f2adc7,,,,,,,"apimanagement-claimstatusapi-3 UK South","apimanagement-claimstatusapi-3 UK South",PC,,,"0.0.0.0",Ashburn,Virginia,"United States",,"9f58dce2-312b-4400-94c8-b7fbdc9e1c1a","06e57e63-09ae-4403-9280-5677b2762f33","apim:0.49.24887.0",1,,,Azure,AppRequests,"/subscriptions/57adb136-00fe-4aa7-b866-fa3dc7aef808/resourcegroups/rg-cnalv2-introspect2b-test-3/providers/microsoft.insights/components/ai-claimstatusapi-3"
"6dee7b41-6a9a-482a-8202-c12c3fb0776f","22/10/2025, 17:39:59.586",7dac6697044b713b,,"GET /v1/Claims/1002","https://apimanagement-claimstatusapi-3.azure-api.net/v1/Claims/1002",false,401,"0.511","<250ms","{""Service ID"":""apimanagement-claimstatusapi-3"",""API Type"":""http"",""Operation Name"":""get-claims-id"",""Region"":""UK South"",""API Revision"":""1"",""Request Id"":""7157eb1b-d6bc-4ba3-a418-76bd24f0c30e"",""Service Name"":""apimanagement-claimstatusapi-3.azure-api.net"",""Cache"":""None"",""Service Type"":""API Management"",""API Name"":""claimstatusapi"",""HTTP Method"":""GET""}","{""Response Size"":435,""Request Size"":0,""Client Time (in ms)"":0}","claimstatusapi;rev=1 - get-claims-id",d6c70d2da0d639ed6cacab3dbe290a0c,,d6c70d2da0d639ed6cacab3dbe290a0c,,,,,,,"apimanagement-claimstatusapi-3 UK South","apimanagement-claimstatusapi-3 UK South",PC,,,"0.0.0.0",Ashburn,Virginia,"United States",,"9f58dce2-312b-4400-94c8-b7fbdc9e1c1a","06e57e63-09ae-4403-9280-5677b2762f33","apim:0.49.24887.0",1,,,Azure,AppRequests,"/subscriptions/57adb136-00fe-4aa7-b866-fa3dc7aef808/resourcegroups/rg-cnalv2-introspect2b-test-3/providers/microsoft.insights/components/ai-claimstatusapi-3"
"6dee7b41-6a9a-482a-8202-c12c3fb0776f","22/10/2025, 17:36:29.578",a9fe3e5f8a4e8526,,"GET /claims/1001/summarize","http://claimstatusapi.yellowrock-2dcf597b.uksouth.azurecontainerapps.io/claims/1001/summarize",false,405,"1.1157","<250ms","{""AspNetCoreEnvironment"":""Production"",""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')""}",,"GET /claims/1001/summarize",a62e52db2f3f7fbb433b32d21667ee4e,,a62e52db2f3f7fbb433b32d21667ee4e,,,,,,"8.0.21",,"claimstatusapi--0000017-794496cc67-9s7w2",PC,,,"0.0.0.0",Ashburn,Virginia,"United States",,"9f58dce2-312b-4400-94c8-b7fbdc9e1c1a","06e57e63-09ae-4403-9280-5677b2762f33","aspnet5c:2.23.0+2faa7e8b157a431daa2e71785d68abd5fa817b53",1,,,Azure,AppRequests,"/subscriptions/57adb136-00fe-4aa7-b866-fa3dc7aef808/resourcegroups/rg-cnalv2-introspect2b-test-3/providers/microsoft.insights/components/ai-claimstatusapi-3"
"6dee7b41-6a9a-482a-8202-c12c3fb0776f","22/10/2025, 17:36:29.577",a9fe3e5f8a4e8526,,"GET /claims/1001/summarize","http://claimstatusapi.yellowrock-2dcf597b.uksouth.azurecontainerapps.io/claims/1001/summarize",false,405,"1.3004","<250ms","{""network.protocol.version"":""1.1"",""_MS.ProcessedByMetricExtractors"":""(Name: X,Ver:'1.1')""}",,"GET /claims/1001/summarize",a62e52db2f3f7fbb433b32d21667ee4e,,a62e52db2f3f7fbb433b32d21667ee4e,,,,,,"claimstatusapi--0000017","[cae-claimstatusapi-3]/claimstatusapi","claimstatusapi--0000017-794496cc67-9s7w2",PC,Other,Other,"0.0.0.0",London,"Greater London","United Kingdom",Other,"9f58dce2-312b-4400-94c8-b7fbdc9e1c1a","06e57e63-09ae-4403-9280-5677b2762f33","dotnet8.0.21:otel1.12.0:ext1.4.0-d",1,,,Azure,AppRequests,"/subscriptions/57adb136-00fe-4aa7-b866-fa3dc7aef808/resourcegroups/rg-cnalv2-introspect2b-test-3/providers/microsoft.insights/components/ai-claimstatusapi-3"
"6dee7b41-6a9a-482a-8202-c12c3fb0776f","22/10/2025, 16:51:16.512","|2f9007b4-41fe064e0b99ad3c.",,"GET /api/swagger","https://apimanagement-claimstatusapi-3.azure-api.net/api/swagger",false,404,"0.2997","<250ms","{""Service ID"":""apimanagement-claimstatusapi-3"",""Region"":""UK South"",""Request Id"":""072303a8-f456-4d15-b7d5-636a0cd1ba0d"",""Service Name"":""apimanagement-claimstatusapi-3.azure-api.net"",""Cache"":""None"",""Service Type"":""API Management"",""HTTP Method"":""GET""}","{""Response Size"":198,""Request Size"":0,""Client Time (in ms)"":0}","GET /api/swagger","2f9007b4-41fe064e0b99ad3c",,"2f9007b4-41fe064e0b99ad3c",,,,,,,"apimanagement-claimstatusapi-3 UK South","apimanagement-claimstatusapi-3 UK South",PC,,,"0.0.0.0","San Jose",California,"United States",,"9f58dce2-312b-4400-94c8-b7fbdc9e1c1a","06e57e63-09ae-4403-9280-5677b2762f33","apim:0.49.24887.0",1,,,Azure,AppRequests,"/subscriptions/57adb136-00fe-4aa7-b866-fa3dc7aef808/resourcegroups/rg-cnalv2-introspect2b-test-3/providers/microsoft.insights/components/ai-claimstatusapi-3"
